ih_1,ih_2,ih_3,ih_4,ih_5,ih_6,ih_7,ih_8,ih_9,ih_10,ih_11,ih_12,ih_13,ih_14,ih_15,ih_16,ih_17,ih_18,ih_19,ih_20,ih_21,ih_22,ih_23,ih_24,ih_25,ih_26,ih_27,ih_28,ih_29,ih_30,ih_31,ih_32,ih_33,ih_34,ih_35,ih_36,ih_37,ih_38,ih_39,ih_40,ih_41,ih_42,ih_43,ih_44,ih_45,ih_46,ih_47,ih_48,ih_49,ih_50,ih_51,ih_52,gender,age,race,gpa,sat,act,phil_cls,psyc_cls,major,athlete
5,4,4,6,4,4,4,4,5,4,5,4,4,2,6,5,6,2,6,4,4,6,7,6,4,3,2,6,2,2,5,3,2,6,6,6,4,5,5,3,4,4,3,4,6,4,6,2,2,2,2,2,1,20,7,2.4,,21,2,0,37,2
5,4,5,4,4,4,4,6,4,4,4,4,7,4,4,3,5,5,5,4,5,4,5,5,5,6,4,5,4,4,3,4,3,6,6,7,5,5,5,6,4,6,4,6,6,6,4,7,4,1,4,3,1,21,7,3,,31,1,0,34,2
5,3,5,3,3,5,6,3,3,6,5,5,5,2,3,6,5,3,6,6,1,2,7,7,3,3,2,6,3,6,6,2,3,5,5,7,5,5,3,3,5,3,5,2,6,5,5,1,5,1,1,1,2,19,7,3.6,,28,2,3,22,2
6,3,5,5,2,1,1,2,5,6,6,2,5,6,6,3,3,4,6,6,2,2,4,2,1,3,4,5,6,3,3,6,3,6,5,7,6,3,5,5,2,2,3,2,5,2,6,3,6,1,3,5,2,18,7,4,,25,1,0,82,2
6,3,2,3,2,4,4,4,5,5,2,5,,2,4,2,7,4,6,4,5,7,,2,3,4,1,4,5,4,4,5,3,3,3,7,5,2,5,5,6,3,2,5,2,3,4,2,2,5,2,4,2,20,5,2,,,1,0,82,2
4,2,2,7,1,1,1,2,1,2,6,2,3,6,6,6,6,2,5,5,6,2,6,2,3,2,1,6,1,2,7,6,1,6,7,7,6,1,5,1,2,2,6,3,7,2,7,1,7,2,3,2,1,19,7,3.59,,31,1,1,21,2
4,3,2,3,2,2,1,2,6,5,5,3,4,6,5,4,5,3,7,5,3,4,4,5,7,3,3,5,5,3,5,5,6,4,7,4,6,5,4,2,4,5,5,4,5,3,5,3,5,2,5,3,2,21,7,3.52,,31,0,3,82,2
3,4,3,4,2,3,2,3,4,4,4,3,4,3,3,5,6,3,6,5,4,3,4,5,6,4,3,4,6,4,3,5,3,6,6,5,5,3,5,3,4,4,3,3,5,4,6,3,4,2,3,4,2,21,7,3.56,,30,0,2,82,2
5,4,3,4,2,2,2,4,7,4,5,4,4,4,3,6,6,3,6,7,2,2,5,3,4,3,2,6,4,3,4,3,2,6,6,5,4,3,4,4,6,5,2,3,4,4,6,2,3,1,3,4,2,19,7,3.69,,23,1,1,82,2
1,1,3,7,1,1,2,6,5,5,3,6,3,5,4,4,6,6,6,5,3,5,4,4,6,3,2,5,6,1,2,4,3,7,6,6,4,2,5,5,7,3,2,1,6,5,6,1,3,1,2,2,2,20,3,3.5,,21,0,2,82,2
5,3,5,3,2,3,5,2,6,6,5,2,3,6,5,4,1,2,6,5,2,2,6,5,3,2,2,6,1,3,3,6,2,6,7,6,3,2,6,5,3,3,3,3,5,3,6,2,5,1,2,2,1,19,7,3.79,,32,0,1,12,2
6,4,5,4,3,3,4,3,3,6,6,6,4,1,7,6,6,2,7,4,2,2,6,6,5,2,3,5,5,2,2,6,2,7,7,7,6,3,5,5,2,2,2,1,6,2,5,2,6,1,3,2,2,21,7,3.4,,25,1,2,23,2
3,6,2,6,1,2,1,5,4,3,4,4,6,2,3,6,6,2,6,6,1,1,6,6,2,1,2,6,3,2,2,4,1,7,7,6,3,2,5,6,6,3,2,2,6,3,6,1,1,1,1,2,1,24,1,3.07,,24,2,1,82,2
1,7,1,7,1,1,1,5,5,5,4,4,6,4,5,6,7,2,7,5,5,3,6,7,4,3,2,7,2,4,5,5,1,7,7,5,5,5,6,3,3,4,2,3,6,4,6,1,3,1,2,2,2,18,7,,,32,1,0,82,2
1,7,1,7,1,1,4,7,1,4,1,1,4,4,4,7,7,4,7,7,1,1,7,7,1,1,4,7,1,4,1,1,1,7,7,7,4,1,4,7,7,7,1,1,7,1,7,1,1,1,1,1,2,20,7,3.5,,29,1,1,8,2
1,6,2,7,1,1,1,5,4,6,4,6,5,3,6,3,6,4,6,6,3,5,5,4,4,4,3,6,6,2,1,2,2,7,6,6,2,2,6,5,7,3,2,2,6,3,6,1,5,1,2,2,2,19,7,2.5,,15,0,1,5,2
4,5,1,4,1,1,1,3,1,5,2,6,4,3,6,5,6,1,6,5,3,2,4,7,2,3,4,6,1,1,2,5,3,6,7,7,5,3,5,4,5,3,4,3,7,4,3,2,3,1,2,1,2,21,7,3.3,,34,3,0,81,2
5,3,6,3,2,4,4,3,4,4,6,6,4,2,6,3,6,6,6,4,3,5,5,4,5,3,3,6,5,4,5,3,3,7,6,6,5,3,4,3,5,3,5,5,6,3,6,2,5,3,2,4,2,23,7,3.2,,,0,2,82,2
5,3,4,3,5,4,4,2,6,6,6,5,3,4,5,3,6,6,5,5,3,6,5,3,5,5,5,6,3,2,5,6,,6,5,7,5,4,5,5,3,3,4,4,5,3,6,2,5,2,3,4,1,22,7,2.8,,,2,1,18,2
2,5,2,6,5,5,5,6,3,1,3,6,6,1,3,5,3,6,7,3,5,5,6,4,2,5,2,5,1,6,2,2,3,7,6,6,5,2,3,5,7,5,3,5,7,6,3,3,5,1,3,3,2,23,7,3.45,,30,2,1,2,2
7,3,6,1,1,1,2,1,4,6,6,2,5,6,5,6,6,3,7,7,2,1,6,6,2,4,1,5,1,1,5,7,2,7,6,6,4,5,5,3,4,1,2,1,7,2,6,2,5,1,2,1,2,21,7,3.9,,34,0,3,82,1
3,5,5,6,4,2,2,4,7,2,3,4,4,2,4,5,3,3,3,7,,2,5,4,2,4,4,7,3,3,2,4,2,6,4,6,5,4,1,3,3,5,4,4,5,6,4,4,1,1,2,1,1,19,7,4,,30,0,0,44,2
5,3,1,2,1,1,1,3,4,5,5,2,3,5,6,6,6,5,6,6,3,3,6,5,5,3,2,6,3,4,3,4,2,7,6,6,4,3,6,3,6,3,2,2,6,3,6,2,3,1,2,2,1,25,7,2.6,,,1,1,82,2
4,5,2,2,2,2,4,6,3,5,4,3,6,2,2,6,6,3,6,5,5,4,6,6,6,3,2,6,6,2,2,4,2,6,5,6,2,3,5,6,6,3,2,4,6,3,6,1,3,2,2,2,1,19,7,3.3,,23,1,2,39,2
4,5,4,6,6,4,6,5,4,5,4,6,5,5,1,2,4,3,6,4,7,4,6,4,2,2,2,7,2,4,4,5,2,6,6,6,2,5,6,2,6,1,2,4,6,3,3,2,4,2,1,2,2,19,1,3.1,,21,0,0,82,2
4,3,6,3,3,5,3,2,3,3,2,6,6,1,2,3,5,5,5,5,5,6,5,6,2,3,2,5,5,2,2,5,2,6,7,6,5,5,6,2,3,4,3,3,6,3,3,2,6,1,2,2,2,18,7,3.6,,23,0,1,82,2
5,3,4,5,4,3,7,3,5,4,5,5,5,3,5,4,5,4,4,5,5,3,5,5,5,4,3,4,5,3,4,3,3,6,5,6,3,3,5,3,4,3,4,4,6,6,4,3,3,1,5,5,1,19,5,3.4,,27,0,2,39,2
2,5,5,2,5,2,4,3,6,4,6,4,4,4,4,2,4,5,6,6,2,5,6,2,5,3,4,3,2,4,2,3,3,5,4,6,3,3,5,4,3,4,4,3,6,3,4,4,2,1,3,3,2,19,7,3.96,,25,0,2,82,2
6,3,5,5,3,4,5,3,6,6,5,3,5,3,5,3,6,2,4,5,2,3,6,3,5,3,1,5,6,1,4,6,2,7,6,6,5,3,6,3,6,3,2,2,5,3,6,1,3,1,3,2,2,18,7,3.5,,27,0,1,1,2
7,2,6,2,2,2,2,6,2,5,2,6,7,1,2,4,5,2,6,5,2,2,6,7,2,3,1,7,3,1,2,2,1,7,7,7,2,3,5,3,5,2,2,5,6,5,4,1,5,1,1,2,2,21,7,3,,27,1,7,82,2
6,5,6,4,4,5,5,5,5,5,3,4,4,6,3,4,5,4,5,5,5,4,6,5,5,2,5,5,6,5,4,3,2,5,3,3,6,6,6,4,5,3,4,4,4,4,5,3,6,5,5,7,1,20,7,3.4,,26,0,2,82,2
2,4,4,7,1,1,1,6,2,5,6,1,6,7,6,5,7,2,7,7,6,1,6,7,3,1,1,2,2,1,1,7,3,7,7,4,7,5,5,3,2,3,5,3,4,3,6,2,6,1,2,3,1,19,7,3.92,,32,0,0,9,2
5,3,2,3,2,2,2,6,2,2,2,6,6,2,2,3,6,6,6,6,2,2,6,6,3,3,2,6,2,2,3,2,2,6,6,7,2,2,6,2,6,6,2,6,6,6,6,1,6,1,2,2,2,19,7,2.8,,24,2,1,1,2
2,3,3,3,2,2,2,4,4,3,4,2,7,5,4,5,7,3,6,7,3,2,6,6,4,2,2,7,2,1,1,2,2,6,7,5,2,2,6,6,4,2,1,3,7,1,5,1,1,1,1,1,1,28,8,3.4,,27,2,2,82,2
4,2,4,2,1,5,6,3,1,6,,3,6,2,4,2,6,3,7,6,2,4,6,7,1,5,2,6,1,3,2,2,3,6,6,6,6,5,5,2,2,2,2,2,6,1,5,1,5,1,2,4,2,23,7,3.95,,28,3,11,73,2
3,5,2,6,5,3,3,6,3,3,3,3,5,1,2,2,5,2,6,5,5,3,5,7,2,4,2,6,2,1,2,2,2,6,6,6,2,2,6,2,1,2,2,4,6,2,5,2,3,1,1,1,2,26,7,3,,,1,5,82,2
6,3,6,2,5,2,7,3,5,5,6,6,3,5,6,5,5,3,6,4,3,3,5,5,2,3,3,5,2,2,3,5,4,5,5,6,7,4,5,4,3,5,3,3,5,3,5,3,5,2,2,2,2,22,7,3.7,,31,1,1,21,2
6,2,6,2,6,5,6,3,2,7,5,3,5,5,5,6,5,1,7,7,2,1,5,6,4,2,2,6,1,6,2,5,3,7,7,7,3,2,7,6,3,3,1,3,7,3,6,1,6,2,1,1,1,19,7,3.9,,27,1,0,9,2
6,2,6,2,5,6,5,3,6,5,6,3,5,5,5,6,5,3,6,6,5,3,6,6,3,2,3,7,5,4,2,6,4,7,6,6,3,2,6,5,3,3,5,3,6,3,6,5,3,2,3,2,1,23,7,2.5,,,1,1,82,2
5,2,2,4,1,4,2,6,5,4,2,5,5,2,3,4,4,4,5,4,3,3,4,6,2,2,3,6,4,2,2,1,3,7,6,5,3,4,4,6,4,4,5,5,5,5,6,3,3,1,2,4,2,25,7,2.75,,,2,1,2,2
5,3,5,1,2,2,2,3,,6,5,6,3,3,3,3,6,2,6,7,2,3,6,,,2,1,,2,6,5,,2,7,6,5,2,,2,,4,3,2,3,6,2,4,,5,2,2,2,2,21,1,3,,17,0,3,82,2
1,6,1,6,1,1,1,4,2,5,5,4,7,2,1,4,4,5,6,4,3,3,6,7,3,4,4,4,3,1,3,3,2,,6,6,2,2,5,4,5,5,5,4,7,4,5,1,1,1,1,1,2,21,7,3.75,,26,0,0,59,2
4,6,4,6,1,1,1,6,5,5,2,6,6,2,2,2,6,2,6,5,2,2,5,5,4,2,1,6,2,1,2,2,1,7,7,6,2,1,7,6,7,7,2,5,7,6,7,2,2,1,1,2,2,21,7,3.3,,20,1,2,10,2
2,2,2,7,2,2,3,6,5,4,2,5,6,1,3,3,7,2,5,5,7,5,4,2,3,2,2,6,2,4,5,2,2,6,6,6,5,4,4,4,5,2,4,2,6,2,4,1,3,1,2,4,2,19,7,3,,18,0,0,5,2
4,3,2,6,2,2,2,3,5,6,5,7,6,4,4,4,3,3,7,6,5,2,7,7,3,3,1,5,6,3,2,4,2,7,6,7,5,5,5,3,3,3,5,2,6,3,6,1,6,2,2,4,2,18,7,3.06,,32,1,2,23,2
1,1,1,1,1,1,1,1,6,7,5,4,6,1,2,7,5,2,7,7,1,1,7,6,4,1,1,6,2,6,1,5,2,7,7,7,1,1,6,7,6,4,4,5,7,3,7,1,4,1,1,2,2,20,7,3.98,,27,0,1,9,2
2,3,3,6,1,1,1,7,1,1,1,5,7,1,2,3,7,1,7,7,1,1,7,7,1,1,1,7,1,1,1,2,1,7,7,7,1,1,6,6,1,6,1,6,7,6,6,1,2,1,1,1,2,22,7,3.95,,23,1,4,23,2
4,4,2,7,1,1,1,2,1,4,4,3,7,4,5,5,6,2,7,7,1,2,6,7,2,2,1,7,2,2,1,2,1,7,7,6,2,1,6,2,6,3,1,2,7,4,5,1,2,1,1,1,2,29,7,3.4,,28,1,2,24,2
